Black cheeked waxbill,ブラックシークトゥウクビクル
Butterfly,バタフライ
Kelp gull,ケルプガル
Red lava crab,レッドゥラーバクラブ
Python,パイソン
Pronghorn,プロングラン
Green winged macaw,グリーンリングドゥマカー
Old world fruit bat,オウルドゥワールドゥフルートゥバットゥ
Oryx,オリックス
Racer snake,レイサースネイク
Mandras tree shrew,マンダーストゥリーシュルー
North American river otter,ノースアメリカンリバーオッター
Monster,モンスター
Long finned pilot whale,ロングフィンドゥパイロットゥホエイル
Elephant,エレファントゥ
Ring necked pheasant,リングネックトゥフェザントゥ
Baleen whale,デイリューンホエイル
Flycatcher,フライケイスター
Nuthatch,ナツエ
Tern,ターン
Golden mantled ground squirrel,ゴウルデンマントゥルドゥグラウンドゥスクワーレル
Grizzly bear,グリズリーベアー
Vicuna,ビキャナ
Pied crow,パイドゥクロウ
Common nighthawk,コモンニガーコウ
Ring tailed coatimundi,リングテイドゥクォーティミンドゥ
Frogmouth,フログマッツ
Hawk,ホーク
Hare,ヘアー
Ocelot,オセロトゥ
Water legaan,ウォーターリガーン
Crested screamer,クレスティドゥスクリーマー
Dromedary camel,ドゥロマデリーキャメル
Savannah deer,サバナディアー
Sun gazer,サンゲイザア
Agile wallaby,アジルワラビー
Insect,インセクトゥ
Wagtail,ワットイジャル
Green heron,グリーンヘロン
Ibex,イビクス
Roseat flamingo,ロウジアトゥフラミンゴウ
Great egret,グレイトゥイーグレトゥ
Bobcat,ボブキャットゥ
Three banded plover,スリーバンディドゥプルバー
Collared lizard,コラリードゥリザードゥ
Greater blue eared starling,グレイターブルーアーエドゥスターリング
American bison,アメリカンバイソン
Black winged stilt,ブラックリングドゥスティルトゥ
Tawny frogmouth,トーニーフログマッツ
Opossum,オポスマム
Harbor seal,ハーバーシール
White bellied sea eagle,ホワイトゥベリイドゥシーイーグル
Black vulture,ブラックバルチャー
Large eared bushbaby,ラージアーエドゥバッチブ
Ring tailed gecko,リングテイドゥジェコ
Wombat,ウォンバットゥ
Common brushtail possum,コモンラブスティアルポッサム
Horned lark,ホーンドゥラーク
Blue breasted cordon bleu,ブルーブレスティドゥコードンレビュー
Cape Barren goose,ケイプバレングース
Malachite kingfisher,マルーチアスキングフィッシャー
Long billed cockatoo,ロングビレドゥコッカトー
Sage grouse,セイジグラウス
Red breasted nuthatch,レッドゥブレスティドゥナツエ
White nosed coatimundi,ホワイトゥノウストゥクォーティミンドゥ
Eastern fox squirrel,イースタンフォックススクワーレル
Eurasian hoopoe,ユーレイジャンフットゥ
Swallow tail gull,スワロウテイルガル
Pademelon,パデムオーレン
Ant,アントゥ
Butterfly,バタフライ
Bat eared fox,バットゥアーエドゥフォックス
Bontebok,ブイノティブ
Southern white crowned shrike,サザンホワイトゥクラウンドゥシュライク
Wild boar,ワイルドゥボー
Banded mongoose,バンディドゥモンゴス
Cheetah,シータ
Bahama pintail,ェイマピンテイル
Red knobbed coot,レッドゥノブドゥクートゥ
White mantled colobus,ホワイトゥマントゥルドゥコロバス
White fronted bee eater,ホワイトゥフロンティドゥビーイーター
Margay,マーゲイ
Skimmer,スキマー
Wolf,ウルフ
Turkey vulture,ターキーバルチャー
Snake,スネイク
African darter,アフリカンダーター
Common zorro,コモンザーロウ
Eastern indigo snake,イースタンインディゴスネイク
House sparrow,ハウススパロウ
Oriental short clawed otter,オリエンタルショートゥクロードゥオッター
Gecko,ジェコ
Snowy egret,スノウイーイーグレトゥ
Tsessebe,テスシーズ
Groundhog,グラウンドゥロウ
American Virginia opossum,アメリカンバージニアオポスマム
Brazilian otter,ブラジリアンオッター
Eastern dwarf mongoose,イースタンドゥウォーフモンゴス
European red squirrel,ユーロピアンレッドゥスクワーレル
Denham's bustard,デハンスバスタードゥ
Wild water buffalo,ワイルドゥウォーターバッファロー
Galah,ガラ
Dama wallaby,ダマスワラビー
Bengal vulture,ベネガルバルチャー
Long crested hawk eagle,ロングクレスティドゥホークイーグル
Common zebra,コモンゼブラ
Rhesus monkey,リーサスモンキー
Urial,ユーリアル
Waterbuck,ワートゥバーキュ
Red billed buffalo weaver,レッドゥビレドゥバッファローウィーバー
Timber wolf,ティンバーウルフ
Peregrine falcon,ペリグリンフォルカン
Skua,スカー
White rumped vulture,ホワイトゥランプトゥバルチャー
River wallaby,リバーワラビー
Echidna,エキダン
Mountain duck,マウンテンダック
Jabiru stork,ジャビューストーク
Yellow brown sungazer,イェローブラウンシナジャー
Kirk's dik dik,カークズディックディック
Striped skunk,ストゥライプトゥスカンク
Trotter,トゥロッター
Feathertail glider,フェザーリターグライダー
Rose ringed parakeet,ロウズリングドゥパラキートゥ
Penguin,ペングイン
Pine siskin,パインシッキン
African wild cat,アフリカンワイルドゥキャットゥ
Lava gull,ラーバガル
Asian openbill,エイジアンオペンブル
Mourning collared dove,モーニングコラリードゥダブ
Kiskadee,キッスケイドゥ
Scarlet macaw,スカーレットゥマカー
Verreaux's sifaka,ベリュアスクシファーカ
White lipped peccary,ホワイトゥリップトゥペカーリイ
