田原俊彦,たはらとしひこ,たはら,としひこ
近藤真彦,こんどうまさひこ,こんどう,まさひこ,まっち
野村義男,のむらよしお,のむら,よしお
本木雅弘,もときまさひろ,もとき,まさひろ
薬丸裕英,やくまるひろひで,やくまる,ひろひで
布川敏和,ふかわとしかず,ふかわ,としかず
東山紀之,ひがしやまのりゆき,ひがしやま,のりゆき
錦織一清,にしきおりかずきよ,にしきおり,かずきよ
植草克秀,うえくさかつひで,うえくさ,かつひで
諸星和己,もろほしかずみ,もろほし,かずみ
内海光司,うちうみこうじ,うちうみ,こうじ
大沢樹生,おおさわみきお,おおさわ,みきお
佐藤寛之,さとうひろゆき,さとう,ひろゆき
山本淳一,やまもとじゅんいち,やまもと,じゅんいち
赤坂晃,あかさかあきら,あかさか,あきら
佐藤敦啓,さとうあつひろ,さとう,あつひろ
岡本健一,おかもとけんいち,おかもと,けんいち
前田耕陽,まえだこうよう,まえだ,こうよう
高橋一也,たかはしかずや,たかはし,かずや
成田昭次,なりたしょうじ,なりた,しょうじ
中居正広,なかいまさひろ,なかい,まさひろ
木村拓哉,きむらたくや,きむら,たくや
稲垣吾郎,いながきごろう,いながき,ごろう
草なぎ剛,くさなぎつよし(なぎは弓+剪),くさなぎ,つよし(なぎは弓+剪)
香取慎吾,かとりしんご,かとり,しんご
森且行,もりかつゆき,もり,かつゆき
長瀬智也,ながせともや,ながせ,ともや
松岡昌宏,まつおかまさひろ,まつおか,まさひろ
山口達也,やまぐちたつや,やまぐち,たつや
国分太一,こくぶんたいち,こくぶん,たいち
城島茂,じょうしましげる,じょうしま,しげる
岡田准一,おかだじゅんいち,おかだ,じゅんいち
森田剛,もりたごう,もりた,ごう
三宅健,みやけけん,みやけ,けん
井ノ原快彦,いのはらよしひこ,いのはら,よしひこ
長野博,ながのひろし,ながの,ひろし
坂本昌行,さかもとまさゆき,さかもと,まさゆき
堂本剛,どうもとつよし,どうもと,つよし
堂本光一,どうもとこういち,どうもと,こういち
大野智,おおのさとし,おおの,さとし
櫻井翔,さくらいしょう,さくらい,しょう
相葉雅紀,あいばまさき,あいば,まさき
二宮和也,にのみやかずなり,にのみや,かずなり
松本潤,まつもとじゅん,まつもと,じゅん
滝沢秀明,たきざわひであき,たきざわ,ひであき
今井翼,いまいつばさ,いまい,つばさ
手越祐也,てごしゆうや,てごし,ゆうや
増田貴久,ますだたかひさ,ますだ,たかひさ
小山慶一郎,こやまけいいちろう,こやま,けいいちろう
加藤シゲアキ,かとうしげあき,かとう,しげあき
山下智久,やましたともひさ,やました,ともひさ
内博貴,うちひろき,うち,ひろき
横山裕,よこやまゆう,よこやま,ゆう
渋谷すばる,しぶたにすばる,しぶたに,すばる
村上信五,むらかみしんご,むらかみ,しんご
丸山隆平,まるやまりゅうへい,まるやま,りゅうへい
安田章大,やすだしょうた,やすだ,しょうた
錦戸亮,にしきどりょう,にしきど,りょう
大倉忠義,おおくらただよし,おおくら,ただよし
亀梨和也,かめなしかずや,かめなし,かずや
上田竜也,うえだたつや,うえだ,たつや
中丸雄一,なかまるゆういち,なかまる,ゆういち
赤西仁,あかにしじん,あかにし,じん
田中聖,たなかこうき,たなか,こうき
田口淳之介,たぐちじゅんのすけ,たぐち,じゅんのすけ
山田涼介,やまだりょうすけ,やまだ,りょうすけ
中島裕翔,なかじまゆうと,なかじま,ゆうと
知念侑李,ちねんゆうり,ちねん,ゆうり
薮宏太,やぶこうた,やぶ,こうた
高木雄也,たかきゆうや,たかき,ゆうや
伊野尾慧,いのおけい,いのお,けい
八乙女光,やおとめひかる,やおとめ,ひかる
有岡大貴,ありおかだいき,ありおか,だいき
岡本圭人,おかもとけいと,おかもと,けいと
森本龍太郎,もりもとりゅうたろう,もりもと,りゅうたろう
玉森裕太,たまもりゆうた,たまもり,ゆうた
藤ヶ谷太輔,ふじがやたいすけ,ふじがや,たいすけ
北山宏光,きたやまひろみつ,きたやま,ひろみつ
横尾渉,よこおわたる,よこお,わたる
宮田俊哉,みやたとしや,みやた,としや
二階堂高嗣,にかいどうたかし,にかいどう,たかし
千賀健永,せんがけんと,せんが,けんと
佐藤勝利,さとうしょうり,さとう,しょうり
中島健人,なかじまけんと,なかじま,けんと
菊池風磨,きくちふうま,きくち,ふうま
マリウス葉,マリウスよう,マリウス,よう
松島聡,まつしまそう,まつしま,そう
橋本良亮,はしもとりょうすけ,はしもと,りょうすけ
戸塚祥太,とつかしょうた,とつか,しょうた
河合郁人,かわいふみと,かわい,ふみと
五関晃一,ごせきこういち,ごせき,こういち
塚田僚一,つかだりょういち,つかだ,りょういち
中間淳太,なかまじゅんた,なかま,じゅんた
濱田崇裕,はまだたかひろ,はまだ,たかひろ
桐山照史,きりやまあきと,きりやま,あきと
重岡大毅,しげおかだいき,しげおか,だいき
神山智洋,かみやまともひろ,かみやま,ともひろ
藤井流星,ふじいりゅうせい,ふじい,りゅうせい
小瀧望,こたきのぞむ,こたき,のぞむ
平野紫耀,ひらのしょう,ひらの,しょう
永瀬廉,ながせれん,ながせ,れん
高橋海人,たかはしかいと,たかはし,かいと
岸優太,きしゆうた,きし,ゆうた
岩橋玄樹,いわはしげんき,いわはし,げんき
神宮寺勇太,じんぐうじゆうた,じんぐうじ,ゆうた
生田斗真,いくたとうま,いくた,とうま
中山優馬,なかやまゆうま,なかやま,ゆうま
風間俊介,かざましゅんすけ,かざま,しゅんすけ
